TagName,obs
MCLC_D_ACom_QDNEAdm_M02.correnteR,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.correnteS,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.correnteT,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.tensaoRS,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.tensaoST,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.tensaoTR,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_Disp01_Control01.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control01.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control01.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control02.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control02.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control02.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control03.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control03.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control03.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control04.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control04.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control04.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control05.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control05.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control05.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control06.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control06.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control06.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control07.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control07.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control07.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control08.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control08.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control09.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control09.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control09.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control10.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control10.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control10.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control11.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control11.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control11.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control12.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control12.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control12.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control14.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control14.estado02,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control14.estado03,"ponto nÆo existe mais na estrutura, foi deletado"
MCLC_Disp01_Control15.estado01,"ponto nÆo existe mais na estrutura, foi deletado"
